0.000000	59.117809	water tap running
0.361414	1.201171	dishes
1.998408	2.285414	dishes
3.603513	4.485789	dishes
5.155468	6.654275	dishes
7.467457	8.341760	cutlery
9.981412	11.355318	dishes
12.362494	12.559146	dishes
15.668372	16.638344	glass jingling
16.816394	18.262051	dishes
19.205448	19.487139	cupboard
19.710365	20.515575	dishes
21.424426	22.314674	dishes
23.975585	24.166922	dishes
24.738276	25.479707	dishes
29.463236	30.146203	dishes
31.445700	32.025026	object impact
33.430821	34.121760	dishes
34.422053	35.176771	cutlery
34.996224	35.176771	object impact
39.147013	39.282543	dishes
44.467244	44.589487	dishes
50.010701	50.369458	object impact
54.794125	55.152882	(object) snapping
59.814063	65.192758	water tap running
61.294267	62.057131	cupboard
68.509266	69.369856	washing dishes
69.582879	70.364171	water tap running
70.784341	71.214558	object impact
74.384905	75.524954	drawer
76.577308	77.175236	object impact
77.770506	78.461445	washing dishes
78.501307	78.809572	cutlery
79.157699	80.268517	dishes
80.374815	83.388372	washing dishes
83.484041	84.414151	washing dishes
84.855289	86.662361	washing dishes
84.985505	85.360206	object impact
86.662361	87.334698	object impact
87.892764	88.336559	dishes
88.721891	89.043443	dishes
89.056730	89.465979	cutlery
89.465979	90.598056	dishes
90.738901	92.662901	washing dishes
92.755912	93.321950	dishes
93.351182	94.374304	washing dishes
94.576270	95.477149	dishes
95.777441	97.260303	washing dishes
97.746618	100.600728	washing dishes
100.800037	101.267749	(object) snapping
101.615876	101.878965	object impact
101.878965	102.123451	object impact
102.123451	102.261639	(object) snapping
102.559274	104.331798	dishes
105.214074	108.262179	washing dishes
108.573101	113.138614	washing dishes
113.138614	114.169708	dishes
114.860647	116.989271	washing dishes
117.196552	122.460976	washing dishes
122.460976	123.343253	dishes
124.664009	127.122158	cupboard
127.629732	130.529019	washing dishes
130.592798	131.002046	glass jingling
131.446101	131.883008	(object) snapping
131.977333	133.292775	dishes
133.292775	134.618847	washing dishes
138.033680	138.915956	dishes
139.125895	146.293059	dishes
146.293059	150.008185	washing dishes
150.008185	150.824025	cupboard
150.824025	153.539947	washing dishes
153.758379	156.857685	washing dishes
158.823765	161.895765	washing dishes
162.048683	163.506859	dishes
164.115797	164.509013	object impact
167.529131	169.375061	washing dishes
169.806507	170.131456	object impact
171.218261	176.584021	washing dishes
177.728171	177.971200	object impact
179.372032	179.833515	dishes
180.357803	187.219968	washing dishes
188.932096	191.124821	cupboard
191.433387	196.045483	washing dishes
196.272128	199.854763	washing dishes
200.018603	200.818688	dishes
201.864533	221.689173	washing dishes
204.032683	233.073323	(object) rustling
204.461397	205.422592	dishes
217.231360	217.665536	glass jingling
224.676523	226.017280	dishes
226.186581	231.789909	washing dishes
234.992981	238.196053	(object) rustling
241.576619	248.883883	washing dishes
260.579328	264.167424	washing dishes
265.123157	265.994240	washing dishes
266.903552	269.582336	dishes
269.836288	270.224043	(object) snapping
270.988629	272.061781	glass jingling
272.392192	273.039360	(object) snapping
275.079168	275.557035	(object) snapping
276.444501	277.296469	washing dishes
277.296469	277.626880	(object) snapping
277.626880	278.435157	dishes
280.190976	281.075712	washing dishes
281.348779	282.198016	cupboard
282.198016	285.425664	washing dishes
286.160213	287.145984	washing dishes
288.230059	290.332672	washing dishes
290.605739	290.930688	(object) snapping
290.930688	296.072533	washing dishes
297.298603	298.014037	glass jingling
298.311680	300.173995	dishes
